Price,Close,High,Low,Open,Volume,log_return,vol_5d,vol_21d,vol_63d,target_vol,ewm_vol_21,parkinson_vol,gk_vol,vol_of_vol,ma_5,ma_10,ma_21,ma_50,ma_200,price_vs_ma21,price_vs_ma50,price_vs_ma200,momentum_5,momentum_21,hl_pct,rsi,macd,macd_signal,macd_diff,bb_middle,bb_upper,bb_lower,bb_width,bb_position,atr,stoch_k,stoch_d,volume_ma_5,volume_ma_21,volume_ratio,price_volume,obv,return_lag_1,return_lag_5,return_lag_21,vol_lag_1,vol_lag_5,high_21d,low_21d,price_position,high_vol_regime,uptrend,high_252d,low_252d,pct_off_high,pct_off_low
2015-12-31,37.040000915527344,37.790000915527344,36.220001220703125,36.810001373291016,283623.0,0.0119502357786001,0.4709320266988943,0.4797786604415806,0.4117611330570023,0.7781349838653444,0.45061241404810093,0.42960550559038296,0.4294760925475354,0.03607994698407699,37.28399963378906,36.44799995422363,37.111904689243865,40.81220001220703,48.77610006332397,-0.1937485405791117,-9.242822233428758,-24.061167523767054,-1.2266642252604165,-11.49342349813493,4.238659978450668,51.083601843456215,-1.0981511495743703,-1.4591219123409542,0.3609707627665839,36.970499992370605,40.16675783097852,33.77424215376269,0.17290855353687437,0.5108722335096421,1.5328568049839555,71.16283526093852,69.91257302630426,243999.4,407424.04761904763,0.6961371123218408,3389.3617222338958,-8146267.0,-0.0341110149922782,0.0369406647008153,0.0047903552262177,0.4770718524103709,0.4574211093932963,42.0,33.97999954223633,0.3815462841188264,0,0,62.58000183105469,33.97999954223633,-40.8117612148317,9.005301396450895
2016-01-04,36.7599983215332,38.38999938964844,36.33000183105469,37.59999847412109,431985.0,-0.0075881826678953,0.4419254795567104,0.4563242963696035,0.4096906101439521,0.8351813874852994,0.4306180622173068,0.4312603656130546,0.43884258657650477,0.03541194262282451,37.01599960327148,36.62899971008301,36.96047610328311,40.643399963378904,48.740100059509274,-0.5424112535501198,-9.554814915446983,-24.579559178887514,-3.5170609088030824,-7.961943952219418,5.603910915814836,54.726366585522634,-1.0349747804706837,-1.3742924859669003,0.33931770549621665,36.75449981689453,39.29882224295203,34.21017739083703,0.1384495742688887,0.501080543995203,1.5599994659423817,63.03852325365143,65.04385901451779,289221.8,402028.61904761905,1.0745130558698677,-3277.981089790751,-8578252.0,0.0119502357786001,0.0158733091069742,-0.0467134668709994,0.4797786604415806,0.4496061040294537,42.0,33.97999954223633,0.34663324446642996,0,0,62.58000183105469,33.97999954223633,-41.25919263988991,8.181279625508537
2016-01-05,35.970001220703125,37.09999847412109,35.7400016784668,36.900001525878906,410131.0,-0.0217249601831111,0.399656145359707,0.4446819463883278,0.4094391102172782,0.834318971995712,0.4208579008210792,0.42949224588535506,0.43575591376561584,0.032814321409701926,36.847999572753906,36.75299987792969,36.717142740885414,40.45519996643066,48.691350059509276,-2.0348574655029714,-11.086828762308212,-26.126506706547374,-2.2819889194499914,-12.439144066660253,3.78091951487486,48.6019721621034,-1.0367027523509478,-1.30677453924371,0.27007178689276223,36.554499816894534,38.61799086268599,34.491008771103076,0.1128994272184114,0.35837142414949935,1.5021419525146469,45.12475617509548,59.775371563228454,327119.2,397897.5238095238,1.0307452935955752,-8910.07964485954,-8988383.0,-0.0075881826678953,-0.0344446573848576,0.0281431360294381,0.4563242963696035,0.458886353629897,42.0,33.97999954223633,0.24812987093291222,0,0,62.58000183105469,33.97999954223633,-42.52157211850163,5.856391127943579
2016-01-06,33.970001220703125,36.38999938964844,33.77000045776367,36.18000030517578,563811.0,-0.0572074735370006,0.4159522273332844,0.4735374974118766,0.4092551364621912,0.8171758255535176,0.4727635027080379,0.44004958184010856,0.43501133874699693,0.030145080130588097,36.06800003051758,36.67599983215332,36.43142845517113,40.24260002136231,48.6239500617981,-6.756329188400588,-15.5869620683789,-30.137306455914608,-10.29838347288155,-15.011257985381798,7.712684244144209,37.118908112282426,-1.1857864591880798,-1.282576923232584,0.09679046404450431,36.370499801635745,38.665935388933896,34.075064214337594,0.12622513299610552,-0.022885197523258283,1.5571417127336764,4.329021843688202,37.49743375747835,391492.4,400423.85714285716,1.4080354852554453,-32254.202862369846,-9552194.0,-0.0217249601831111,0.0283896290104355,-0.0273922263695402,0.4446819463883278,0.4662508028050676,40.150001525878906,33.77000045776367,0.03134807671725624,0,0,62.58000183105469,33.77000045776367,-45.71748126116887,0.5922438857813911
2016-01-07,33.27000045776367,34.2599983215332,32.099998474121094,34.09000015258789,617409.0,-0.0208217143177945,0.4014925571444209,0.4374285341445576,0.4099648859303796,0.8244624213887828,0.4543640211170833,0.4379721796865978,0.44986879079101877,0.02909579727934954,35.402000427246094,36.388999938964844,36.22285697573707,40.02840003967285,48.55275007247925,-8.151915018606331,-16.884011290011124,-31.476589053970333,-9.09835561526586,-11.6334685009365,6.492334889367475,40.617179312438076,-1.3449172137517706,-1.2950449813364215,-0.049872232415349105,36.15849990844727,38.77197216031449,33.54502765658005,0.1445564533088757,-0.05261720276920457,1.5642847333635597,18.600982724093722,22.684920247625783,461391.8,399566.5238095238,1.545197015289307,-12855.513815235185,-10169603.0,-0.0572074735370006,-0.0341110149922782,-0.0597962084898211,0.4735374974118766,0.4770718524103709,38.9900016784668,32.099998474121094,0.16981152968181895,0,0,62.58000183105469,32.099998474121094,-46.83605068024499,3.6448661659153334
2016-01-08,33.15999984741211,34.34000015258789,32.63999938964844,33.29999923706055,596496.0,-0.0033117781239083,0.3365521782416931,0.4374566667255526,0.4022462402768194,0.8463309071779934,0.4342549220144265,0.4375566321882505,0.44932178825319874,0.02774452439917118,34.626000213623044,35.954999923706055,36.015714191255114,39.82760002136231,48.47250007629395,-7.929078759005683,-16.741154803136272,-31.590077270164567,-10.475164611804098,-11.596903942338779,5.126660949222306,42.23763614467398,-1.4630405918971903,-1.3286441034485754,-0.13439648844861485,35.958499908447266,38.847011717661616,33.069988099232916,0.16065808176473953,0.015580990164564393,1.5992848532540453,16.85216564395598,13.260723403912616,523966.4,391438.5238095238,1.52385614526346,-1975.4624037988053,-10766099.0,-0.0208217143177945,0.0119502357786001,-0.003725475427281,0.4374285341445576,0.4797786604415806,38.9900016784668,32.099998474121094,0.15384628161311237,0,0,62.58000183105469,32.099998474121094,-47.01182665840576,3.3021851204933386
2016-01-11,31.40999984741211,33.20000076293945,30.8799991607666,32.939998626708984,648640.0,-0.054218016972914,0.3706898303634436,0.4684658721533725,0.4128728501192538,0.8305952609951541,0.4646196541674571,0.4479291871134293,0.4535982070853611,0.026932967300506788,33.556000518798825,35.28600006103515,35.74190466744559,39.53700004577637,48.37240007400513,-12.119960758496067,-20.555429569655583,-35.066277878794885,-14.553859408059825,-15.473627620050811,7.38618788106743,37.289432176656156,-1.6785157101622659,-1.3986184247913136,-0.27989728537095226,35.69099998474121,39.19278768329459,32.18921228618783,0.1962280518926609,-0.11125923468998743,1.6735707691737578,7.05726591867787,14.170138095575838,567297.4,391556.3333333333,1.6565687866113774,-35167.97452931094,-11414739.0,-0.0033117781239083,-0.0075881826678953,-0.0093746095072155,0.4374566667255526,0.4563242963696035,38.38999938964844,30.8799991607666,0.0705726591867787,0,0,62.58000183105469,30.8799991607666,-49.80824715823959,1.7163235137612305
2016-01-12,30.440000534057617,32.209999084472656,29.93000030517578,31.11000061035156,627218.0,-0.0313687581545305,0.3609334678625275,0.4753786029442415,0.405641212460061,0.8377818982762077,0.45103856833474854,0.4687262224479526,0.48048101139467164,0.025613552906766448,32.45000038146973,34.648999977111814,35.44095239185152,39.2246000289917,48.28025008201599,-14.110658772656755,-22.39563816696973,-36.95144394996356,-15.37392410057141,-17.19259541906309,7.4901404050433955,34.66475478248803,-1.905585725537648,-1.5000118849405806,-0.40557384059706747,35.43200006484985,39.64909038298609,31.214909746713616,0.238038513796447,-0.09187723693317452,1.7735706056867322,6.028372152165855,9.979267904933216,610714.8,396950.5238095238,1.580091125666255,-19675.049752168314,-12041957.0,-0.054218016972914,-0.0217249601831111,-0.0108226580120535,0.4684658721533725,0.4446819463883278,38.38999938964844,29.93000030517578,0.060283721521658555,0,0,62.58000183105469,29.93000030517578,-51.35826199520487,1.7039766912185492
2016-01-13,30.479999542236328,31.709999084472656,30.100000381469727,30.540000915527344,637903.0,0.0013131652618675,0.3566829578374777,0.4693449681724752,0.4059420861724229,0.940603260337628,0.4366688967860376,0.47119691891509236,0.48753193806475187,0.0234106846910356,31.752000045776366,33.910000038146975,35.19619051615397,38.90240001678467,48.1892500782013,-13.399719983198336,-21.650079354781315,-36.74937980405687,-10.27377554623049,-14.430094171191667,5.282148055061301,27.646123139430543,-2.0585827030171373,-1.6117260485558922,-0.4468566544612451,35.14049997329712,39.87614905079204,30.404850895802202,0.2695265622910024,0.007934355481622664,1.759999138968331,6.501173718446453,6.528937263096707,625533.2,403259.90476190473,1.5818656714126704,837.6720600410638,-11404054.0,-0.0313687581545305,-0.0572074735370006,-0.0315030039522194,0.4753786029442415,0.4735374974118766,38.38999938964844,29.93000030517578,0.06501173718446453,0,0,62.58000183105469,29.93000030517578,-51.29434539723688,1.8376185481208827
2016-01-14,31.200000762939453,31.770000457763672,30.280000686645508,30.600000381469727,537906.0,0.0233474034686718,0.4799303858914387,0.472527995591421,0.4102117618449756,0.9369413365642076,0.45043943396378605,0.46468858357430864,0.48008517971178605,0.021153881754463942,31.338000106811524,33.37000026702881,34.95285715375628,38.60360004425049,48.10725008964538,-10.736908786335126,-19.178520326664998,-35.14490912534003,-6.221820457898962,-14.07325920430944,4.775640175265773,23.793673059407098,-2.0975565031514876,-1.7088921394750116,-0.38866436367647594,34.833000087738036,39.75940145799021,29.90659871748586,0.28285828713251565,0.1312724997666386,1.7371418816702702,15.011827366442745,9.180457745684999,609632.6,402661.3333333333,1.335876965257818,12558.708410219373,-10866148.0,0.0013131652618675,-0.0208217143177945,0.0191859753724086,0.4693449681724752,0.4374285341445576,38.38999938964844,29.93000030517578,0.15011827366442745,0,0,62.58000183105469,29.93000030517578,-50.143816155248544,4.243235699346289
