Price,Close,High,Low,Open,Volume,log_return,vol_5d,vol_21d,vol_63d,target_vol
Ticker,BAC,BAC,BAC,BAC,BAC,,,,,
Date,,,,,,,,,,
2015-01-02,14.20364761352539,14.306803445941119,14.029078183989206,14.275062724126766,48951100,,,,,0.37821183423729565
2015-01-05,13.791023254394531,14.132228346133695,13.719609678279344,14.116359503375026,105605500,-0.02948091412108939,,,,0.36821841101324543
2015-01-06,13.378403663635254,13.838633368458227,13.314923756538304,13.822763013313898,144912400,-0.030376151759748535,,,,0.3596330015252471
2015-01-07,13.441883087158203,13.63232280159795,13.38633835963165,13.600582092451168,104603800,0.004733696000295265,,,,0.3785758180692289
2015-01-08,13.719612121582031,13.759286505764955,13.568846737421586,13.616456301137243,73388500,0.020450914944313486,,,,0.37084470716654266
2015-01-09,13.47362232208252,13.791021847073566,13.449818303633391,13.791021847073566,84144600,-0.01809247885675363,0.35523027560198434,,,0.36719404534333167
2015-01-12,13.235574722290039,13.513299909161598,13.219704365673262,13.50536473085321,92762500,-0.017825612856482112,0.3244044417705242,,,0.3625552214903682
2015-01-13,13.053071022033691,13.402209809733261,12.94991521070562,13.346665071393812,100845400,-0.013884825720686465,0.2700199947648548,,,0.36548062964846095
2015-01-14,12.727736473083496,12.870565154028485,12.513491181445062,12.695995757219743,164779800,-0.025239847124504045,0.2858639713466259,,,0.3536769219442754
2015-01-15,12.06119441986084,12.505554552818447,12.021519286370658,12.37065955299597,193241300,-0.053790360133583015,0.25704163881495024,,,0.2907399722352054
2015-01-16,12.204024314880371,12.219893913864501,11.87868958993349,12.029454185613675,149802000,0.011772533037804468,0.3740332403638734,,,0.30111582607538107
2015-01-20,12.108805656433105,12.402400455904855,12.061195341259717,12.370660498036026,123402800,-0.007832831092903647,0.383942044931381,,,0.30020117849127315
2015-01-21,12.227829933166504,12.354789760736939,12.021519834994415,12.12467488408046,101054200,0.009781567818170486,0.4327824451826105,,,0.30039829158520526
2015-01-22,12.767409324645996,12.846759591317024,12.24369968348984,12.338919549450939,183042100,0.04318128152242513,0.5641435613740052,,,0.26550185039978746
2015-01-23,12.4817476272583,12.846758209285664,12.4817476272583,12.727733578823806,103376900,-0.02262839009703163,0.39185832260938597,,,0.2542085047779537
2015-01-26,12.576970100402832,12.64045001360598,12.457944695591737,12.473815052262653,69969300,0.007599984365887739,0.3896729136024778,,,0.2539728663463689
2015-01-27,12.4024019241333,12.529361770638456,12.283376500479434,12.338922000880723,86184200,-0.013977214326715517,0.40555241080649773,,,0.26874573221013615
2015-01-28,12.06119441986084,12.481749018680201,12.045324820508904,12.473814597374348,105359800,-0.027896931227636947,0.46079662720400943,,,0.25400846970869473
2015-01-29,12.243701934814453,12.291311498179152,12.0611965906088,12.14848205134469,76095800,0.015018450827109104,0.29889883437756753,,,0.25254995041173245
2015-01-30,12.021519660949707,12.27544006915464,12.021519660949707,12.084999573815878,99844600,-0.01831332819609214,0.28728105020137673,,,0.2417883334615766
2015-02-02,12.267508506774902,12.29131329193124,11.997718419201485,12.116743858464128,101586700,0.02025583360626047,0.3386798017807396,,,0.2364651154089799
2015-02-03,12.608710289001465,12.640450246187045,12.386529831962125,12.39446501044359,105159400,0.0274336854808799,0.3926848898680799,0.37821183423729565,,0.21930794356916258
2015-02-04,12.529361724853516,12.695996711967707,12.497621763343211,12.529361724853516,83848100,-0.0063130400483366635,0.3046965448286915,0.36821841101324543,,0.2224053197498718
